codigo,mensaje 1,mensaje 2,mensaje 3,mensaje 4,mensaje 5,mensaje 6
d1,"Hola!!!

Mi nombre es Enrique Guzmán y estaré pendiente de su proceso de obtención de licencia

Ya tiene cita agendada para la prueba de manejo???",record=c6=7200,,,,
e1,"📌 HOLA!!!

Mi nombre es Enrique Guzmán

Le agradezco si me detalla toda la situación de lo ocurrido con lujo de detalles en un audio para entender bien y buscar la solución más favorable a este problema",record=e2=7200,reporte=El cliente tiene una queja y contestó al mensaje envíado por el agente,,,
e2,"📌 Hola!!!

Disculpe la insistencia pero le agradezco más detalles de lo ocurrido",reporte=El cliente tiene una queja y contestó el recordatorio,,,,
f1,"💡💡💡Le agradezco si me ayuda con una buena calificación y recomendación en nuestra página. 

Para nosotros es demasiado importante

https://www.facebook.com/share/1BmkkrNkuP/","reporte=Se detectó que el cliente envío un mensaje sobre que ganó la prueba y a contestado al mensaje envíado por el agente, revisar!",,,,
g1,"💡💡💡Hola!!!

Para iniciar con el curso teórico solamente debes ingresar al siguiente enlace 
👇🏻👇🏻👇🏻👇🏻👇🏻
De inmediato comenzarás a recibir el estudio del curso teórico para licencias

Usuario de estudio: (PONER CÉDULA)
Contraseña: (PONER TELÉFONO)

MOTOCICLETA: https://app.escuelasdemanejocr.com/course/view.php?id=24

AUTOMOVIL: https://app.escuelasdemanejocr.com/course/view.php?id=25

Bendiciones",fin,,,,
g2,📌 Pudo ingresar a la página de estudio???,reporte=Contestaron recordatorio 1 día despues de palabra clave,,,,
g3,📌 Como va con su programa de estudio???,reporte=Contestaron recordatorio 3 días despues de palabra clave,,,,
g4,"Recuerde que puede solicitar su cita teórica en el siguiente enlace

En la pregunta que dice ""INGRESO COSEVI"" debe poner la clave de su usuario 

Si llena el formulario con los datos incompletos o incorrectos será eliminado de la lista sin previo aviso. 

Es su responsabilidad velar por la veracidad de los datos suministrados

https://forms.gle/AKn9QGgByCEbBDDx8 ",reporte=Contestaron recordatorio 1 semana despues de palabra clave,,,,
h1,"💡💡💡Hola!!!

Para iniciar con el curso teórico de transporte público solamente debes ingresar al siguiente enlace 
👇🏻👇🏻👇🏻👇🏻👇🏻
https://app.escuelasdemanejocr.com/course/view.php?id=22

De inmediato comenzarás a recibir el estudio del curso teórico para transporte público 

Usuario de estudio: (PONER CÉDULA)
Contraseña: (PONER TELÉFONO)

Bendiciones",fin,,,,
r0,"📲 Gracias por unirse a nuestro grupo del curso teórico!!!

Recuerde:

🎯 Por política de transparencia no cobramos nada antes del curso y pagas en efectivo hasta ese mismo día.

🎯 Traer documento de identidad 

🎯 Traer material para tomar notas (Cuaderno y lapicero) 

Por favor presentarse unos 10 minutos antes para hacer la matrícula e iniciar de la mejor manera la obtención de su licencia.

Bendiciones",reporte=Contestaron al mensaje de Bievenida al grupo de whatsApp,,,,
r1,"📱 Gracias por permitirnos ser parte de tu trámite de licencias

Como podemos ayudarte ?",,,,,
r2,"""📌 Hola!!!

No recibí respuesta a nuestra conversación.

Podemos continuar???""",reporte=Contestaron al recordatorio para unirse al grupo de whatsapp,,,,
welcome,"📲 Gracias por unirse a nuestro grupo del curso teórico!!!

Recuerde:

🎯 Por política de transparencia no cobramos nada antes del curso y pagas en efectivo hasta ese mismo día.

🎯 Traer documento de identidad 

🎯 Traer material para tomar notas (Cuaderno y lapicero) 

Por favor presentarse unos 10 minutos antes para hacer la matrícula e iniciar de la mejor manera la obtención de su licencia.

Bendiciones ",reporte=Respondieron a mensaje de bienvenida al grupo,,,,
